Company Name,Party Name,Total Donations,Company Bond Numbers,Party Bond Numbers
14 REELS PLUS LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,11985,10088
A B C INDIA LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,40000000,"11448,11447,11441,1113,1118,1112,1115,1119,111,1111,1106,1114,1117","775,3975,3967,10418,126,116,10466,122,158,108,10446,10434,162"
AAKANKSHA BAHETY,ALL INDIA TRINAMOOL CONGRESS,10000000,14471,9477
AALAYA CONSTRUCTIONS,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,14616,10546
AARISH SOLAR POWER PRIVATE LIMITED,BHARATIYA JANATA PARTY,2000,"14477,14452","20011,20017"
AASHMAN ENERGY PRIVATE LIMITED,BHARATIYA JANATA PARTY,1000,14542,20013
AASHMAN ENERGY PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,"12015,12017","10094,10092"
AAYTEE LOGISTICS PRIVATE LIMITED,AAM AADMI PARTY,300000,"13608,1361,13612","13987,13981,13973"
ABHAY SHUKLA,BHARATIYA JANATA PARTY,20000000,"12768,1277","804,815"
ABHIJIT INTERNATIONAL,BHARAT RASHTRA SAMITHI,20000000,"3555,3553","15806,15807"
ABHIJIT INTERNATIONAL,BHARATIYA JANATA PARTY,55000000,"8922,8924,892,8926,8928,2374,2361,2367,2369,2372","13432,13444,13446,1343,13434,13054,12499,12493,12466,12472"
ABHINANDANSTOCKBROKINGPVTLTD,AAM AADMI PARTY,1200000,"14826,1483,14828,14824,14822,14768,14766,1477,14764,14762,14774,14772","13979,13975,13983,14003,14001,3295,3297,3287,3291,3283,3299,3281"
ABHINANDANSTOCKBROKINGPVTLTD,BHARAT RASHTRA SAMITHI,60000000,"15605,15337,15339,15333,15335,15331","14717,14729,14754,14701,14691,14693"
ABHINANDANSTOCKBROKINGPVTLTD,BHARATIYA JANATA PARTY,56000000,"8226,13909,13901,13905,13907,13903,8232,8234,8236,8239,15258,15262,15254,15266,15268,15264,15248,1525,1526,15256","1344,13505,13517,13515,13501,13503,822,828,818,838,13345,13359,13353,13361,13357,13355,13363,13369,13367,13373"
ABHINANDANSTOCKBROKINGPVTLTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",60000000,"15736,1573,15732,15734,15728,17822","539,541,533,536,544,1565"
ABHINANDANSTOCKBROKINGPVTLTD,SIKKIM DEMOCRATIC FRONT,40000000,"15757,15755,1576,15758","15183,15185,15181,15177"
ABHINAV JAIN,BHARATIYA JANATA PARTY,20000000,"8019,8017","11735,11723"
ABHISHEK KAUSHIK,AAM AADMI PARTY,100000,13615,14007
ABHISHEK RATHI,BHARATIYA JANATA PARTY,4000000,"1208,1206,121,1204","10984,10968,10982,10945"
ABHISHEK TIBREWAL,ALL INDIA TRINAMOOL CONGRESS,10000000,14468,945
ABHRAJIT MITRA,BHARAT RASHTRA SAMITHI,110000000,"16363,16365,16361,16367,15577,153,29685,29691,29687,29683,29689","14588,14598,14616,14618,1462,14622,14623,13891,13895,13889,13887"
ABIS AGROTECH PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",5000000,"3313,3309,3311,3307,3305","1572,15716,15718,15722,15724"
ABNLINVESTMENTLIMITED,BHARATIYA JANATA PARTY,10000000,14871,1226
ABNLINVESTMENTLIMITED,BIJU JANATA DAL,90000000,"14883,14885,14877,14881,14875,14879,14887,14873,14889","11417,11421,11415,11419,11423,11424,11432,11422,11434"
ACE COMERCIAL COMPANY PRIVATE LIMITED,BHARATIYA JANATA PARTY,70000000,"11043,11041,17302,17308,1731,17304,17306","664,6642,6638,6641,734,727,2805"
ACE URBAN DEVELOPERS PVT LTD,BHARAT RASHTRA SAMITHI,40000000,"16814,16808,16802,1681","1469,1467,1465,1471"
ACE URBAN DEVELOPERS PVT LTD,BHARATIYA JANATA PARTY,60000000,"16812,16804,16806,168,16798,16796","1288,15936,15928,15932,1593,15934"
ACHINT MAHESHWARI,ALL INDIA TRINAMOOL CONGRESS,50000000,"3015,3017,3011,3009,3013","8099,8202,8089,8095,8087"
ACHINTYA SOLAR POWER PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,40000000,"12285,1229,12288,12289","9765,976,9768,9754"
ACHINTYA SOLAR POWER PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,11989,101
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,7000000,"11556,11555,1125,1129,1124,1128,1126","128,113,10423,11,131,164,118"
ADIT BUILD WELL PVT LTD,BHARATIYA JANATA PARTY,10000000,641,7048
ADITYA KUMAR GARG,ALL INDIA TRINAMOOL CONGRESS,1000000,9381,14313
ADITYA KUMAR GARG,BHARAT RASHTRA SAMITHI,120000000,"14917,14909,14915,14919,14921,14913,14911,28852,28844,28848,28846,2885","14666,14674,14662,1467,14664,14682,14658,1466,14697,1473,14699,14732"
ADWITA FINVEST PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,1000000,5022,14317
AGARWAL M BISHAN,BHARATIYA JANATA PARTY,3000000,"13997,13999,13995","13511,13513,13507"
AIC VMR PROJECTS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000,"16919,16917","29758,2977"
AIS DISTRIBUTION,BHARATIYA JANATA PARTY,70000000,"6462,646,12716,12712,12713,12715,12714","6266,6332,4634,6313,6341,6333,634"
"AISHWARYA BUSINESS CORPORATION PVT, LTD",BHARATIYA JANATA PARTY,140000000,"7192,7198,7194,7196,1299,12992,12994,12996,12988,13,13004,13002,12998,13006","1014,4603,455,4602,5181,5168,517,5169,1019,1018,5412,285,2848,6213"
AJANTA PHARMA LTD,BHARAT RASHTRA SAMITHI,30000000,"11386,11388,1139","9758,977,9756"
AJANTA PHARMA LTD,BHARATIYA JANATA PARTY,10000000,13534,11739
AJAY GUPTA,ALL INDIA TRINAMOOL CONGRESS,200000,"9151,9153","1162,1157"
AJAY GUPTA,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",200000,"14188,1419","29763,29773"
AJAY METALLOYS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,5000000,"9387,9389,9383,9329,9385","14315,14311,14309,14324,14322"
AJAY METALLOYS PVT LTD,BHARATIYA JANATA PARTY,70000000,"13843,13841,1402,14014,14022,14016,14018","12497,12456,12489,13486,13476,13484,13474"
AJAY SARAF,BHARAT RASHTRA SAMITHI,50000000,"949,9496,9494,9488,9492","13893,1463,14632,14628,14626"
AJIT KUMAR JAIN,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2000000,"29756,29754","15577,153"
AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),ALL INDIA TRINAMOOL CONGRESS,105000000,"13779,13797,13785,13777,13795,13787,13793,14927,14929,13781,13789,13791,13799,14931,13783","10868,10873,10783,1079,10858,10785,11581,11579,11583,11585,14784,14778,14782,1478,14776"
